project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+69.csv,0,0,0,0,0,0.083333333,0,0,0.166666667,0.083333333,0,0.166666667,0.166666667,0.166666667,0.333333333,8,11,3
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+78.csv,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.4,8,7,5
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+88.csv,0,0.111111111,0.111111111,0,0.222222222,0.222222222,0,0.333333333,0.222222222,0,0.444444444,0.333333333,0.111111111,0.444444444,0.444444444,15,1,1
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+95.csv,0,0,0,0,0.142857143,0.142857143,0,0.285714286,0.285714286,0,0.428571429,0.285714286,0.285714286,0.428571429,0.428571429,17,2,2
performance-367-76-bug链保V3.1.9测试_1470654359+30.csv,0,0,0,0,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.666666667,8,6,3
performance-367-76-bug链保V3.1.9测试_1470654359+42.csv,0,0,0,0,0,0.5,0,0,0.5,0.25,0.25,0.5,0.5,0.75,1,8,8,2
performance-367-76-bug链保V3.1.9测试_1470654359+50.csv,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,1,1,1,5,5,4
performance-367-76-bug链保V3.1.9测试_1470654359+59.csv,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,15,1,1
performance-368-166-bug米信V4.1.6测试_1470654360+119.csv,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,20,23,8
performance-368-166-bug米信V4.1.6测试_1470654360+12.csv,0.05,0,0.05,0.1,0.05,0.05,0.15,0.1,0.1,0.2,0.15,0.1,0.25,0.25,0.25,1,3,1
performance-368-166-bug米信V4.1.6测试_1470654360+132.csv,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0.5,7,13,12
