project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-364-73-bug微乐杂志锁屏测试_1470654359+63.csv,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+108.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,53.0,45.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+27.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.3,0.3,0.2,5.0,13.0,14.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+5.csv,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.47368421052631576,1.0,1.0,1.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+56.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5,5.0,5.0,7.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+70.csv,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.5,7.0,5.0,1.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+76.csv,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,16.0,3.0,5.0,
performance-365-166-bug风迹V1.0.8测试_1470654360+86.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,16.0,3.0,17.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+10.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.1,0.05,0.2,0.2,0.2,4.0,4.0,4.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+104.csv,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.0,0.4,0.2,31.0,2.0,9.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+118.csv,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,41.0,2.0,11.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+136.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,39.0,40.0,8.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+149.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,22.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+19.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.15789473684210525,4.0,4.0,5.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+35.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.1875,0.1875,0.125,10.0,10.0,14.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+56.csv,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.2857142857142857,3.0,3.0,6.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+69.csv,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,8.0,11.0,3.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+78.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4,8.0,7.0,5.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+88.csv,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,15.0,1.0,1.0,
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+95.csv,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,17.0,2.0,2.0,
performance-367-76-bug链保V3.1.9测试_1470654359+30.csv,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,8.0,6.0,3.0,
performance-367-76-bug链保V3.1.9测试_1470654359+42.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.25,0.25,0.5,0.5,0.75,1.0,8.0,8.0,2.0,
performance-367-76-bug链保V3.1.9测试_1470654359+50.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,5.0,5.0,4.0,
performance-367-76-bug链保V3.1.9测试_1470654359+59.csv,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,1.0,1.0,
performance-368-166-bug米信V4.1.6测试_1470654360+119.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,20.0,23.0,8.0,
performance-368-166-bug米信V4.1.6测试_1470654360+12.csv,0.05,0.0,0.05,0.1,0.05,0.05,0.15,0.1,0.1,0.2,0.15,0.1,0.25,0.25,0.25,1.0,3.0,1.0,
performance-368-166-bug米信V4.1.6测试_1470654360+132.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,7.0,13.0,12.0,
performance-368-166-bug米信V4.1.6测试_1470654360+150.csv,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,
performance-368-166-bug米信V4.1.6测试_1470654360+21.csv,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,1.0,1.0,2.0,
