task category,number of reports,number of bugs,number of unique bugs,number of crowdworkers
video,95,91,23,95
video,181,139,25,181
video,184,123,26,184
video,200,127,27,200
video,231,182,27,231
video,244,112,28,244
video,249,132,29,249
video,270,142,31,270
video,306,162,42,304
video,317,183,43,317
video,372,345,46,372
video,562,345,95,562
weather,25,16,5,25
weather,31,20,3,31
weather,26,21,5,26
weather,22,19,5,22
weather,34,23,6,34
weather,116,97,32,116
weather,98,85,16,98
